#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
FX_TaRF,ScriptedTrade,1,0,2023-02-22,Cashflow,3629.3196,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9972192812,3619.2274718658,1.0000000000,3619.2274718658,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FX_TaRF,ScriptedTrade,2,0,2023-03-22,Cashflow,8000.6194,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9936407470,7949.7414413156,1.0000000000,7949.7414413156,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FX_TaRF,ScriptedTrade,3,0,2023-04-24,Cashflow,9289.6970,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9893381288,9190.6514471473,1.0000000000,9190.6514471473,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FX_TaRF,ScriptedTrade,4,0,2023-05-23,Cashflow,6964.8084,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9854800036,6863.6794482905,1.0000000000,6863.6794482905,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FX_TaRF,ScriptedTrade,5,0,2023-06-22,Cashflow,4321.9643,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9814577765,4241.8255097804,1.0000000000,4241.8255097804,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FX_TaRF,ScriptedTrade,6,0,2023-07-24,Cashflow,1843.3336,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9771963209,1801.2987666703,1.0000000000,1801.2987666703,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FX_TaRF,ScriptedTrade,7,0,2023-08-22,Cashflow,-330.4309,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9733709513,-321.6318038552,1.0000000000,-321.6318038552,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FX_TaRF,ScriptedTrade,8,0,2023-09-22,Cashflow,-2196.0868,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9692913930,-2128.6480728164,1.0000000000,-2128.6480728164,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FX_TaRF,ScriptedTrade,9,0,2023-10-24,Cashflow,-3844.0001,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9651532264,-3710.0490944436,1.0000000000,-3710.0490944436,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FX_TaRF,ScriptedTrade,10,0,2023-11-22,Cashflow,-5286.3614,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9614901555,-5082.7844903916,1.0000000000,-5082.7844903916,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FX_TaRF,ScriptedTrade,11,0,2023-12-22,Cashflow,-6566.0342,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9577874744,-6288.8653530179,1.0000000000,-6288.8653530179,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FX_TaRF,ScriptedTrade,12,0,2024-01-23,Cashflow,-7588.0083,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9539041071,-7238.2322391336,1.0000000000,-7238.2322391336,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FX_TaRF,ScriptedTrade,13,0,2024-02-22,Cashflow,-8758.5216,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9507966424,-8327.5729646159,1.0000000000,-8327.5729646159,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
